company,role,location,work,open_date,close_date,hourly_rate,total_compensation,application_url,linkedin_url,job_id,employment_type,description,qualifications,responsibilities,notes
Pentair,IT & Cybersecurity Intern,"Golden Valley, MN",In person,"August 16, 2026","March 1, 2027",$31/hour,"$14,880",https://careers.pentair.com/us/en/job/PEAPENUSR23700EXTERNALENUS/IT-Cybersecurity-Leadership-Development-Internship-Program-Summer-2027,,R23700,FULL TIME,"Job Description: Ignite your Career Journey with Pentair’s Leadership Development Internship Program! Are you ready to gain hands-on experience, develop your leadership skills, and make a meaningful impact? Pentair is seeking ambitious, innovative, and driven students to join our Leadership Development Internship Program. &#x1f680; What Awaits You Embark on a 12-week experience where you'll contribute to meaningful work, build lasting connections, and grow both personally and professionally. Through hands-on projects, mentorship, networking opportunities, and intern-focused programming, you'll gain valuable experience and develop skills that will help prepare you for the next step in your career. &#x1f30e; Make a Difference Each intern will be assigned to a real-world, strategic business project that you will be immersed in for the summer. Your work will directly help Pentair achieve our mission of a more sustainable future. Interns will present their project objectives, processes, and overall results and impact to leadership at the internship program's end. &#x1f310; Professional Cohort Development As a Pentair intern, you'll join a cohort of talented students from across the organization and participate in meaningful development experiences throughout the summer. From mentorship and networking opportunities to executive speaker sessions, a team case competition, and our signature Intern Summit, you'll build valuable skills, expand your network, and gain exposure to potential career opportunities. Along the way, you'll collaborate with experienced professionals, contribute to meaningful work, and grow both personally and professionally. &#x1f4a6; About Pentair At Pentair, we believe the health of our world depends on reliable access to clean water. We design, manufacture, and deliver a comprehensive range of smart, sustainable water solutions to homes, business, and industries around the world. Whether it is improving, moving, or enjoying water, we help manage the world’s most precious resource. &#x1f44d; Pentair Will: Offer meaningful, hands-on work through a strategic business project that will allow you to make a real impact while developing valuable professional skills. Provide on-the-job training, mentorship, and coaching from experienced professionals invested in your growth and success. Pay competitively. Provide opportunities to connect with leaders across the organization through executive speaker sessions, coffee chats, networking events, and mentorship experiences. Offer a variety of professional development, social, volunteer, and cohort experiences designed to help you build your network and accelerate your growth. Give you the opportunity to collaborate with fellow interns through a team case competition and attend Pentair's Intern Summit, bringing together interns from across the company for learning, development, and connection. Provide the opportunity to showcase your accomplishments through a final presentation to Pentair leaders, with the potential to be considered for future full-time opportunities upon graduation. &#x1f4c3; Minimum Qualifications: Be currently pursuing a Bachelor’s Degree in Information Technology, Management of Information Systems, Cybersecurity, or Computer Science from an accredited university Be currently enrolled as a junior undergraduate (Preferred Graduation Date: Spring 2028) Be willing to work during the summer in our Golden Valley, MN location Have a strong interest in pursuing Pentair’s full-time IT & Cybersecurity Leadership Development Program upon graduation Willing to relocate and work in locations throughout the United States while in Pentair's Leadership Development Program Have strong technical aptitude in at least one IT domain (application development, infrastructure, cybersecurity, etc.) Be proficient in Microsoft Word, Excel, and PowerPoint Must be legally authorized to work in the United States without sponsorship now or in the future ✅ Key Information: 12-week i...",,,12 weeks. Employer page enriched automatically from published job data.
Interactive Brokers,Cybersecurity Internship 2027,"Greenwich, Connecticut, United States",In person,"August 15, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4454308591?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BjGzPvnk%2FQbK19IZua9S1Gg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2PtgWshnIwqso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msunqn6s~dm-null-null&eid=i8qsyk-msunqn6s-dm&otpToken=NjA3MzA4YjZkNmQ5MTgzNjdjZDgzMGU3NGJmYzUxZDVkYjcxMDQ2ZWI1YTRhNzU4MjBmZDczMzg4ZmM2NDYxNWRjMGZiMjE1Yzk2MzlhZDNhZGZiMWIzOGNlNzg5NDUyN2VhYzBjNzJlODk4MWU5YmVjNTAzMWJkZWZmZWE0MmQzZjMzMzBiYTI0MWFjMTI3LDIsMQ%3D%3D,https://www.linkedin.com/comm/jobs/view/4454308591?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BjGzPvnk%2FQbK19IZua9S1Gg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2PtgWshnIwqso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msunqn6s~dm-null-null&eid=i8qsyk-msunqn6s-dm&otpToken=NjA3MzA4YjZkNmQ5MTgzNjdjZDgzMGU3NGJmYzUxZDVkYjcxMDQ2ZWI1YTRhNzU4MjBmZDczMzg4ZmM2NDYxNWRjMGZiMjE1Yzk2MzlhZDNhZGZiMWIzOGNlNzg5NDUyN2VhYzBjNzJlODk4MWU5YmVjNTAzMWJkZWZmZWE0MmQzZjMzMzBiYTI0MWFjMTI3LDIsMQ%3D%3D,4454308591,Internship,,,,Imported automatically from a LinkedIn job email.
Pentair,IT & Cybersecurity Leadership Development Internship Program - Summer 2027,"Golden Valley, Minnesota, United States",In person,"August 15, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4448312441?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BjGzPvnk%2FQbK19IZua9S1Gg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2PtgWshnIwqso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msunqn6s~dm-null-null&eid=i8qsyk-msunqn6s-dm&otpToken=NjA3MzA4YjZkNmQ5MTgzNjdjZDgzMGU3NGJmYzUxZDVkYjcxMDQ2ZWI1YTRhNzU4MjBmZDczMzg4ZmM2NDYxNWRjMGZiMjE1Yzk2MzlhZDNhZGZiMWIzOGNlNzg5NDUyN2VhYzBjNzJlODk4MWU5YmVjNTAzMWJkZWZmZWE0MmQzZjMzMzBiYTI0MWFjMTI3LDIsMQ%3D%3D,https://www.linkedin.com/comm/jobs/view/4448312441?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BjGzPvnk%2FQbK19IZua9S1Gg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2PtgWshnIwqso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msunqn6s~dm-null-null&eid=i8qsyk-msunqn6s-dm&otpToken=NjA3MzA4YjZkNmQ5MTgzNjdjZDgzMGU3NGJmYzUxZDVkYjcxMDQ2ZWI1YTRhNzU4MjBmZDczMzg4ZmM2NDYxNWRjMGZiMjE1Yzk2MzlhZDNhZGZiMWIzOGNlNzg5NDUyN2VhYzBjNzJlODk4MWU5YmVjNTAzMWJkZWZmZWE0MmQzZjMzMzBiYTI0MWFjMTI3LDIsMQ%3D%3D,4448312441,Internship,,,,Imported automatically from a LinkedIn job email.
SpaceX,"New Graduate Engineer, Software Security - '26/'27 (Starlink)","Redmond, Washington, United States",In person,"August 15, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4454590319?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BjGzPvnk%2FQbK19IZua9S1Gg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2PtgWshnIwqso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msunqn6s~dm-null-null&eid=i8qsyk-msunqn6s-dm&otpToken=NjA3MzA4YjZkNmQ5MTgzNjdjZDgzMGU3NGJmYzUxZDVkYjcxMDQ2ZWI1YTRhNzU4MjBmZDczMzg4ZmM2NDYxNWRjMGZiMjE1Yzk2MzlhZDNhZGZiMWIzOGNlNzg5NDUyN2VhYzBjNzJlODk4MWU5YmVjNTAzMWJkZWZmZWE0MmQzZjMzMzBiYTI0MWFjMTI3LDIsMQ%3D%3D,https://www.linkedin.com/comm/jobs/view/4454590319?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BjGzPvnk%2FQbK19IZua9S1Gg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=2PtgWshnIwqso1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msunqn6s~dm-null-null&eid=i8qsyk-msunqn6s-dm&otpToken=NjA3MzA4YjZkNmQ5MTgzNjdjZDgzMGU3NGJmYzUxZDVkYjcxMDQ2ZWI1YTRhNzU4MjBmZDczMzg4ZmM2NDYxNWRjMGZiMjE1Yzk2MzlhZDNhZGZiMWIzOGNlNzg5NDUyN2VhYzBjNzJlODk4MWU5YmVjNTAzMWJkZWZmZWE0MmQzZjMzMzBiYTI0MWFjMTI3LDIsMQ%3D%3D,4454590319,Internship,,,,Post-grad / early-career opportunity imported automatically from a LinkedIn job email.
ByteDance,Security Software Engineer Project Intern (Network Security) - 2026 Start (BS/MS),"San Jose, CA",In person,"August 14, 2026",Rolling,$45-$60/hour,Undisclosed,https://joinbytedance.com/search/,,A177024A,,"Network-security project internship improving WAF intelligence against HTTP floods, malicious bots, and evasive activity.",Undergraduate/postgraduate STEM student; security fundamentals and a programming/scripting language.,,At least 3 months. Rolling applications. Employer-posted rate $45-$60/hour.
IBM,X-Force Red Hacker Intern 2027,"Austin, TX",In person,"August 14, 2026",Rolling,Est. $24.92-$45.69/hour,"$51,840-$95,040/year (annualized)",https://www.ibm.com/careers/search,,129253,,Offensive-security internship supporting live client penetration-testing engagements.,University student; security knowledge preferred; onsite Austin May-August 2027; no current/future visa sponsorship.,,"Employer projected annualized salary range $51,840-$95,040."
Marathon Petroleum,Intern/Co-op - Information Technology (Summer 2027),"Findlay, OH / San Antonio, TX",In person,"August 14, 2026","August 16, 2026",$24.95-$31.19/hour,Undisclosed,https://mpc.wd1.myworkdayjobs.com/en-US/MPCCareers?q=00023241,,00023241,,"IT internship with possible placements in systems analysis, cloud, cybersecurity, infrastructure, software engineering, and QA.",Related IT/CS/engineering major; strong academics; indefinite U.S. work authorization without sponsorship; must remain enrolled.,,Employer-posted pay $24.95-$31.19/hour.
TikTok,Search Security Strategy Operations Intern (TikTok-Platform Responsibility-Search) - 2027 Summer,"San Jose, CA",In person,"August 14, 2026",Rolling,$25/hour,Undisclosed,https://lifeattiktok.com/search/,,A145452,,"Search-security strategy internship focused on content safety, detection, intervention, emergency response, large models, and security platforms.","Undergraduate/master's student in CS, statistics, information management, data science, or related field.",,Rolling applications. Employer-posted rate $25/hour.
Interactive Brokers,Cybersecurity Internship 2027,"Greenwich, CT",In person,"August 13, 2026","March 1, 2027",Undisclosed,Undisclosed,https://www.interactivebrokers.com/en/general/about/careers.php,,642,,"Nine-week onsite cybersecurity internship covering security engineering, assessments, scanning, threat monitoring, penetration testing, red teaming, and AI testing.",Cybersecurity/CS-related degree; Dec. 2027-May 2028 graduation preferred; minimum GPA 3.5.,,9-week onsite program. Deadline March 1.
Amazon,Robotics - Software Development Engineer Intern/Co-op - 2026,"Seattle, Washington, United States",In person,"August 12, 2026",Rolling,Undisclosed,Undisclosed,https://www.linkedin.com/comm/jobs/view/4443044663?trackingId=&refId=&lipi=urn%3Ali%3Apage%3Aemail_email_jobs_saved_job_reminder_01%3BeoSSjgUVSUCXwqQ%2Bcwx5Eg%3D%3D&midToken=AQEjyWXu4WAGnA&midSig=25zErYE8tvmco1&trk=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting&trkEmail=eml-email_jobs_saved_job_reminder_01-saved~jobs-0-job_posting-null-i8qsyk~msqejlo8~90-null-null&eid=i8qsyk-msqejlo8-90&otpToken=OWJjZGVkYjI4NzEwZjJhYzQxZjZlYmVjNWJmNTg4MDYxYzM4MDNmMTI1NWYyYTQ5ODA0NGViY2RhODFmNGQ0NWVhNjEzMTExNGZiODIxYTY0ODY3NDQzNzFkZThkZmJmMjJlOWIyZTI2MWFlNTkyZTVhZDUwZGQxMzBjMTI1Y2FlZTNjNzc2ZjM2OTViNzQwLDIsMQ%3D%3D,,4443044663,,,,,Imported automatically from a LinkedIn job email.
